sample_id,city,year,stratum,sentence,dict_visible_hits,dict_functional_hits,dict_label,coder1 (visible | functional | mixed | irrelevant),coder2 (visible | functional | mixed | irrelevant),adjudicated,notes
S0161,伊春市,2005,none:early,建设标准化药材基地，优化北药品种，突出地道特色，集中力量打响“林都北药”品牌，进一步提高北药产业对外扩张能力,0,0,irrelevant,,,,
S0162,桂林市,2010,none:early,我们必须坚持发展第一要务不动摇，把加快发展作为最大的政治、最硬的道理、最紧迫的任务，一心一意谋发展，聚精会神搞建设，全心全意惠民生，尽心尽力促和谐，绝不辜负全市人民的期望和重托,0,0,irrelevant,,,,
S0163,阜阳市,2006,visible:early,加强社会公德、职业道德、家庭美德和诚信教育，推进文明城市、文明村镇、文明社区和文明行业创建活动,1,0,visible,,,,
S0164,鄂尔多斯市,2010,visible:early,把城市中心区建设作为走向现代化的重要标志和必然选择，着力塑造百年鄂尔多斯城市风貌,1,0,visible,,,,
S0165,丽江市,2010,visible:early,都市型设施园艺栽培模式创新及关键技术研究与示范推广项目、竹炭生产关键技术与应用机理及系列产品开发项目荣获国家科技进步二等奖,1,0,visible,,,,
S0166,晋城市,2012,visible:early,落实“以奖促治”和“以奖代补”政策，以实施农村环境连片整治示范项目为抓手，全面加强农村环境保护工作,1,0,visible,,,,
S0167,台州市,2020,visible:late,一年来，市政府高举习近平新时代中国特色社会主义思想伟大旗帜，全面贯彻落实党中央国务院、省委省政府和市委的决策部署，认真执行市人大的各项决议，坚持稳中求进工作总基调，以现代化湾区建设统领“再创民营经济新辉煌”和“新时代美丽台州建设”，狠抓产业项目，大抓实体经济，台州经济社会等各项事业均取得显著成效，为建设独具魅力的“山海水城、和合圣地、制造之都”作出了不懈努力,1,0,visible,,,,
S0168,平凉市,2011,visible:early,加强公务人员廉政教育，不断提高自我规范、自我约束、清廉从政的自觉性，以廉政取信于民，以勤政造福于民，进一步树立和维护政府的良好形象,1,0,visible,,,,
S0169,益阳市,2009,functional:early,加强农田水利设施建设，完成56座病险水库除险加固工程，抓好大型灌区续建配套和节水改造、重点中小流域治理，加强粮食主产区末级渠系建设,0,1,functional,,,,
S0170,普洱市,2021,visible:late,（四）着力推进美丽城乡建设,1,0,visible,,,,
S0171,廊坊市,2009,visible:early,完成市区7条道路建设和改造，实施了金光道、环城水系、郊区快速路景观改造工程，南出口、西出口、西外环南延和永兴路铁路桥工程竣工,1,0,visible,,,,
S0172,黄山市,2012,visible:early,抓好黄山区、徽州区2个省级现代农业示范区建设,1,0,visible,,,,
S0173,枣庄市,2015,functional:late,统筹城区地上地下设施建设，2012年以来全市新增供热面积1186万平方米，新建改造城区道路196条，整治背街小巷200多条，居民住行更加舒适,0,1,functional,,,,
S0174,安庆市,2017,functional:late,建成城西污水处理厂二期主体工程,0,1,functional,,,,
S0175,湛江市,2005,visible:early,申报组建省级高新技术产业开发区，推进国家火炬计划湛江海洋产业基地、省级农业科技园、省级可持续发展试验区、生态环境示范基地和专业镇试点建设,1,0,visible,,,,
S0176,佛山市,2014,visible:late,我市成为省服务外包示范城市,1,0,visible,,,,
S0177,金华市,2022,none:late,开展农村集体经营性建设用地入市试点，推动使用权抵押融资，探索增值收益分配机制,0,0,irrelevant,,,,
S0178,日照市,2017,none:late,城乡居民低保标准分别达到490元/月、3600元/年,0,0,irrelevant,,,,
S0179,庆阳市,2011,visible:early,“十一五”是基础建设投入加大、城乡面貌发生巨大变化的时期,1,0,visible,,,,
S0180,荆州市,2009,functional:early,中心城区城市总规修编工作通过部级评审，城市建设完成投资4亿元，荆中路、屈原路、郢都路、南环路、东环路和塔桥路实现黑化升级，荆沙大道全线贯通，武德路卡口打通，荆襄河、荆沙河清淤和四湖流域污水治理等水环境整治工程全面展开，市容市貌较大改善,0,1,functional,,,,
S0181,菏泽市,2010,none:early,完善社会保障体系，各项社会保险新增参保人口106.8万人，城乡低保标准分别提高到每人每月200元和每人每年1000元，城乡大病人均救助标准分别提高到3800元和2800元，农村“五保”集中供养率达到70%以上，新农保试点工作顺利启动,0,0,irrelevant,,,,
S0182,柳州市,2017,functional:late,棚户区实物建房建成14767套、分配入住11000套，农村危房改造新开工15304户、竣工11365户,0,2,functional,,,,
S0183,扬州市,2010,none:early,财政总收入310.09亿元，其中一般预算收入128.08亿元，分别增长16.5%和22.2%,0,0,irrelevant,,,,
S0184,武汉市,2006,visible:early,加强城市生态环境建设，大力实施“绿满滨水、显山透绿、景观道路、亲民绿化”四大工程,2,0,visible,,,,
S0185,运城市,2007,visible:early,通过持续不懈地开展文明创建活动，促进城乡文明程度进一步提升，力争“十一五”末把我市创建成为全国文明城市,1,0,visible,,,,
S0186,潍坊市,2009,visible:early,积极创建全国科技进步先进市和国家知识产权示范城市,1,0,visible,,,,
S0187,三亚市,2024,none:late,城镇和农村常住居民人均可支配收入分别达到45877元和22990元，同比分别增长5.7%和8.5%,0,0,irrelevant,,,,
S0188,驻马店市,2017,functional:late,进一步建设和完善集聚区内水、电、路、气、通讯、供热等基础设施，提高承载能力,0,1,functional,,,,
S0189,镇江市,2012,none:early,狠抓重点用能企业监管，坚决实施差别电价、惩罚性电价等措施,0,0,irrelevant,,,,
S0190,朔州市,2011,functional:early,加快神头二电厂、大唐电厂和双良公司热电联产集中供热项目建设进度，保证今冬为市民保质保量供好热,0,1,functional,,,,
S0191,成都市,2011,functional:early,加强水资源保护利用建立健全节水制度推广应用节水技术加快建设应急水源规划建设第二水源,0,1,functional,,,,
S0192,玉林市,2012,visible:early,新增国家级农业标准化示范区3个、国家级重点龙头企业1家，建设自治区级农业良种培育中心4家，自治区级农业标准化生产技术示范基地7个,2,0,visible,,,,
S0193,开封市,2019,mixed:late,开展农村人居环境“千村示范、万村整治”工程，确定100个示范村、1000个整治村，突出垃圾治理、污水处理、厕所革命，补齐农村基础设施短板,2,1,mixed,,,,
S0194,十堰市,2011,mixed:early,加速城市道路、公交、污水处理厂、垃圾处理厂、天然气等公共设施建设，全力改善城区交通拥堵状况，注重开发利用城市地下空间，推进“三网融合”，建设“数字十堰”，力争建成全国文明城市、国家卫生城市、国家环保模范城市,1,2,mixed,,,,
S0195,漯河市,2022,functional:late,志不求易，事不避难,0,1,functional,,,,
S0196,钦州市,2006,functional:early,加强自然灾害、事故灾难、公共卫生事件和社会安全事件的预测预警设施建设，建立健全应急管理体系,0,1,functional,,,,
S0197,白山市,2008,functional:early,强化了应急预案完善和应急救援演练，应急管理能力不断提高,0,3,functional,,,,
S0198,潍坊市,2003,none:early,"全
2
市个体工商业户和私营企业分别达到12. 3万户和1.5万家, 从业人员51万人",0,0,irrelevant,,,,
S0199,柳州市,2012,none:early,抓好百里柳江申报4A级景区、龙潭景区升5A级景区工作，着力打造百里柳江国家级水利风景区,0,0,irrelevant,,,,
S0200,南宁市,2003,visible:early,桃源 路、民族大道等12条道路改造、扩建暨美化亮化工程基本竣工,2,0,visible,,,,
S0201,荆州市,2013,none:late,提升自主创新能力,0,0,irrelevant,,,,
S0202,梧州市,2011,functional:early,城市道路、桥梁、供水、供气、公共交通等设施进一步完善，城市综合承载能力明显提升,0,1,functional,,,,
S0203,衡阳市,2019,none:late,(四)坚持抓协调促统筹，全力建设最美地级市,0,0,irrelevant,,,,
S0204,咸宁市,2012,visible:early,建成区绿化率37.6%，人均公园绿地面积10.36平方米,1,0,visible,,,,
S0205,通化市,2004,functional:early,对困难群众和弱势群体，全面开展基本生活、教育、住房、医疗、应急救助和就业援助，推进扶贫帮困社会化、规范化、制度化,0,1,functional,,,,
S0206,乐山市,2009,functional:early,做好运力需求对接和天然气供应保障，启动仁寿——乐山天然气主管线建设和沙湾火车站二期改造工程,0,2,functional,,,,
S0207,清远市,2010,mixed:early,加强与珠三角、港澳地区在旅游项目投资、客源市场拓展、无障碍旅游设立、旅游信息交流等方面的合作，重点推进国际（中国·佛冈）健康养生旅游示范基地建设，做大生态休闲、民族风情特色旅游品牌,1,1,mixed,,,,
S0208,安康市,2017,visible:late,紫阳、平利跻身国家电子商务示范县，石泉、岚皋、宁陕创建国家全域旅游示范区，瀛湖生态旅游区成为国家服务业标准化试点景区,2,0,visible,,,,
S0209,临汾市,2012,mixed:early,市区框架进一步拉大，功能更趋完善，城镇绿化覆盖率、生活垃圾无害化处理率、集中供热普及率、燃气使用普及率大幅提升,1,2,mixed,,,,
S0210,珠海市,2007,visible:early,让我们紧密团结在以胡锦涛同志为总书记的党中央周围，高举邓小平理论和“三个代表”重要思想伟大旗帜，全面落实科学发展观，在党中央、国务院、省委、省政府和市委的坚强领导下，团结带领全市人民锐意进取，扎实工作，加快建设实践科学发展观先行示范市步伐，为把珠海建设成为“最适宜居住、最适宜创业、最富有魅力”的现代化区域中心城市而努力奋斗,1,0,visible,,,,
S0211,焦作市,2021,visible:late,实施绿色文明工程，推动森林动物园、生态植物园、太行国际生态城等统筹联动、综合提升，加快建设绿色发展综合示范区,1,0,visible,,,,
S0212,吉安市,2012,none:early,继续实施项目带动战略，保持投资对经济增长的强劲拉动,0,0,irrelevant,,,,
S0213,台州市,2022,functional:late,构建低碳韧性的城市保障系统，建成台州市引水工程和南部湾区引水工程，朱溪水库具备下闸蓄水条件，开工建设海塘提标27.3公里，新建城乡供水管网260公里，深化椒江河口水利枢纽工程等项目前期,0,2,functional,,,,
S0214,重庆市,2021,visible:late,科学推进乡村规划建设，合理确定村庄布局分类，注重保护传统村落和乡村特色风貌，防止大拆大建,1,0,visible,,,,
S0215,哈尔滨市,2005,visible:early,继续推进城区增绿、郊区环绿，对沿松花江、穿城铁路线及城区“三沟”进行绿化，提高城市绿化覆盖率,2,0,visible,,,,
S0216,咸宁市,2013,none:late,对基层、企业、群众的合理诉求，要带着感情、带着责任，依法办、设法办、快速办,0,0,irrelevant,,,,
S0217,钦州市,2012,none:early,服务好中石油1000万吨炼油厂、东油沥青、玉柴石化等一批石化企业顺产达产，力争中石油含硫原油加工配套工程、中亚石化一期、泰兴石化等项目竣工投产，力促产值超150亿元的玉柴石化二期、580万方油库及产值超50亿元的广州恒诚、南部湾、东油tmp等项目上半年进入全面实质性施工,0,0,irrelevant,,,,
S0218,海口市,2020,functional:late,加 强产品质量检验检测，让人民群众买得放心、吃得安心、用得舒心,0,1,functional,,,,
S0219,焦作市,2011,functional:early,人民防空工作扎实推进，应急管理体系建设进一步加强,0,1,functional,,,,
S0220,舟山市,2014,visible:late,新渔农村建设不断深入，建成美丽海岛精品（特色）社区25个，改造渔农村困难家庭危旧房643户，村庄环境综合整治率达到90%，新农村电气化目标全面实现,1,0,visible,,,,
S0221,东营市,2005,mixed:early,百公里灌区节水改造、百公里骨干河道排水改碱、百公里水域绿化工程全部完成,1,1,mixed,,,,
S0222,拉萨市,2009,visible:early,"继续抓好南北山生态绿色屏障绿化工程,
20
实施拉萨东西大门环境整治，建设东西大门绿色长廊",1,0,visible,,,,
S0223,宿迁市,2016,visible:late,围绕打造“美丽宿迁”升级版，大力实施生态立市战略，抓源头重整治建制度，守住蓝天碧水，建好绿色家园，实现了经济发展与环境改善的良性互动,1,0,visible,,,,
S0224,南通市,2009,visible:early,以成功创建全国文明城市为新起点，继续弘扬精神文明“南通现象”和新时期南通精神，大力开展群众性精神文明创建活动，深入实施公民道德建设工程和公民素质提升计划，加强社会公德、职业道德、家庭美德和未成年人思想道德建设,1,0,visible,,,,
S0225,营口市,2012,visible:early,盖州市、大石桥市要按照中等城市规模高标准抓好县城规划，加快服务业集聚区规划建设，下力量抓好县城开发和城市化样板乡镇、试点村建设,1,0,visible,,,,
S0226,遂宁市,2021,none:late,推进以公共交通为导向的TOD模式引领片区综合开发，打造交通圈、商业圈、生活圈“多圈合一”的城市功能区,0,0,irrelevant,,,,
S0227,眉山市,2009,functional:early,仁寿、洪雅、青神、丹棱4县的城市污水处理厂建成投入试运行,0,1,functional,,,,
S0228,随州市,2009,none:early,各项社会事业全面协调发展,0,0,irrelevant,,,,
S0229,云浮市,2012,functional:early,推进市城区应急备用水源及都杨西江水厂建设,0,1,functional,,,,
S0230,武汉市,2016,visible:late,造林绿化2.63万亩,1,0,visible,,,,
S0231,鄂州市,2019,none:late,"（三）围绕增活力，探索乡村振兴路径
 乡村振兴开局良好",0,0,irrelevant,,,,
S0232,中卫市,2006,none:early,加强民兵预备役建设，支持了中卫军分区、武警部队建设，强化了军队转业干部、退役士兵安置和拥军优属工作，“双拥”共建活动深入开展,0,0,irrelevant,,,,
S0233,保山市,2007,visible:early,社会主义新农村建设试点全面启动，市、县区、乡镇财政安排专项资金1600多万元，整合支农资金2亿多元，吸纳社会资金500多万元，投入新农村建设，农村面貌发生可喜变化,1,0,visible,,,,
S0234,常德市,2024,none:late,实施粮油等作物单产提升行动，建成高标准农田40万亩以上，抓好低镉优质品种选育推广、工厂化育秧、机械化生产、社会化服务，确保粮食生产面积和产量保持全省首位,0,0,irrelevant,,,,
S0235,松原市,2021,visible:late,全市常住人口城镇化率提高到45%，前郭县被列为全国县城新型城镇化建设示范县,1,0,visible,,,,
S0236,晋城市,2019,visible:late,今年，重点是开工建设高铁东站站前广场，实施周边可视山体绿化，按照快速公交的理念启动丹河快线“1+3”一期工程，确保2020年底高铁通车时，站前广场、公园、“两纵四横”六条站前道路、公交和旅游换乘中心以及与市区连接道路等配套工程全部完工,1,0,visible,,,,
S0237,珠海市,2019,visible:late,推动农业高质量发展，新增国家级示范合作社1家、省级特色小镇2个、省级农业龙头企业3家、省名牌农产品16个，莲洲镇被评为“中国禾虫之乡”，白蕉镇昭信村成功创建全国一村一品示范村，全国第一艘半潜船形智能化养殖渔场顺利投放，广东（珠海）种业博览会成功举办,2,0,visible,,,,
S0238,滁州市,2008,visible:early,加强重点道路绿化美化亮化，搞好老城区城中村改造，改善人居环境,3,0,visible,,,,
S0239,朔州市,2015,none:late,积极开展体育运动，举办了朔州市第二届全民运动会,0,0,irrelevant,,,,
S0240,阜新市,2006,none:early,搞好粉煤灰、煤矸石、矿井水等工业废弃物综合利用和医疗垃圾无害化处理，实施生活垃圾资源化利用,0,0,irrelevant,,,,
S0241,绥化市,2022,none:late,大力推进科技强农、质量兴农、绿色兴农、品牌富农,0,0,irrelevant,,,,
S0242,濮阳市,2006,none:early,加强文物保护工作,0,0,irrelevant,,,,
S0243,潍坊市,2016,functional:late,"启动实施城镇棚户区改造三年行动计划,年内改造棚户区3.89万套以上,开工中心城区老旧小区改造2.5万户,实现13万城中村和城边村居民完全市民化",0,2,functional,,,,
S0244,海口市,2016,none:late,深入开展水体、大气、土壤等专项整治,0,0,irrelevant,,,,
S0245,石家庄市,2009,none:early,切实加强县、乡两级“三位一体”大调解体系和行政部门大调解中心的建设和管理，切实做到制度健全公开、人员配备到位，职责任务明确、调解程序规范，方法妥善有效、部门配合紧密,0,0,irrelevant,,,,
S0246,铜川市,2012,none:early,投资1.35亿元，实施创卫项目22类367个,0,0,irrelevant,,,,
S0247,长治市,2010,functional:early,健全义务教育投入保障机制，保质、保量、按时完成198.7万平方米的中小学校舍改造加固任务,0,1,functional,,,,
S0248,黑河市,2007,mixed:early,各县（市）根据本地实际，加快道路、给排水等基础设施建设，不断改善城乡面貌,1,1,mixed,,,,
S0249,潮州市,2012,none:early,依托亚太通用码头、大唐煤码头和小红山杂货码头，大力发展港口物流业,0,0,irrelevant,,,,
S0250,玉林市,2015,mixed:late,深入开展“美丽玉林·清洁乡村”活动，全面启动生态乡村建设，完成103个农村环境连片整治项目，新建农村污水管网207公里、垃圾处理设施459套、沼气池1.9万座，造林绿化27万亩，城乡生态环境明显改善,2,2,mixed,,,,
S0251,固原市,2012,visible:early,设施农业以创建自治区级和市级现代农业示范基地为带动，新建设施农业5.8万亩，建设设施农业示范区50个，完成以秋覆膜为主的旱作节水农业105.5万亩，设施农产品总产量达到56.7万吨，冬菜北上、夏菜南下的流通格局基本形成,2,0,visible,,,,
S0252,三明市,2012,functional:early,加快以水利为重点的农业基础设施建设，健全自然灾害防控体系，增强防灾减灾能力,0,1,functional,,,,
S0253,固原市,2024,visible:late,开展本质安全达标单位创建、国家安全发展示范市创建活动，实施全域智慧安全工程，提高从人到物、从设计到操作等系统安全保障水平，从源头上消除风险隐患,2,0,visible,,,,
S0254,随州市,2017,visible:late,“3+3”城市品牌创建圆满收官，“五城同创”扎实推进，随县和广水市城市面貌日新月异，我市被纳入国家新型城镇化综合试点，成功创建国家园林城市、国家森林城市、全国绿化模范城市和全省首个环保模范城市,3,0,visible,,,,
S0255,雅安市,2015,none:late,积极争取国家和省政策扶持，加快贫困地区、革命老区、少数民族地区发展,0,0,irrelevant,,,,
S0256,吴忠市,2023,functional:late,健全城乡基础设施建管机制，推动市政供水供气供热管网向城郊乡村及规模较大镇延伸,0,3,functional,,,,
S0257,吕梁市,2024,none:late,吕梁师范高等专科学校迎来首届新生,0,0,irrelevant,,,,
S0258,怀化市,2007,functional:early,以增强配套功能为重点，继续推进旧城改造，开工建设城市管道燃气工程，新建一批公用停车场、公用厕所和垃圾中转站，加快体育中心建设，启动市图书馆、文化艺术馆建设，确保污水处理厂建成使用,0,2,functional,,,,
S0259,锦州市,2023,functional:late,坚决贯彻党中央“三个坚定不移”决策部署，强化市县两级防控体系建设，筑牢严防境外输入、域外输入、社会面传播和全民免疫四道屏障，创新实施“万人联万家、入户即敲门”“户户清户户帮”社区排查、“点对点”运输保产保供等有效防控措施，率先在全省建成市级城市核酸检测基地、定点医院、亚定点医院和方舱医院，核酸检测、流调溯源、隔离转运、医疗救治等应急处置能力有效保障了防疫需要,0,3,functional,,,,
S0260,鹤岗市,2020,functional:late,实施城市供热“一网多源”和智慧供暖，加大供热老旧管网改造力度，推进多热源互联互通，实现城市供暖高效、清洁、可靠和舒适，确保群众住上“暖房子”,0,5,functional,,,,
S0261,郑州市,2019,functional:late,加快建设郑州新区污水处理厂二期等项目，新增污水处理能力15万吨/日、污泥处理能力300吨/日，中水利用率提高到45%,0,2,functional,,,,
S0262,苏州市,2009,visible:early,实施知识产权和技术标准战略，增加发明专利申请量和授权量，提升知识产权的创造、应用、保护和管理能力，争创国家知识产权示范城市,1,0,visible,,,,
S0263,中卫市,2011,visible:early,加快发展铝镁合金、稀土彩钢板等合金材料、光伏发电材料、新型建筑装饰材料、石膏制品和其他新材料，打造新材料基地,1,0,visible,,,,
S0264,宜宾市,2022,visible:late,累计投入资金500亿元，圆满实现所有贫困县、贫困村、贫困人口如期脱贫退出，“山海模式”成为东西部扶贫协作全国典范，浙川纺织园先后被评为全国纺织业产业转移示范园区、中国纺织服装业十大产业园区,1,0,visible,,,,
S0265,三亚市,2017,none:late,"尽快开建人大附中三亚学校,深化与北师大和上海市长宁区的基础教育交流合作,加快与清华大学、华南师大附中、重庆南开中学、海南中学等学校的对接洽谈",0,0,irrelevant,,,,
S0266,嘉峪关市,2023,mixed:late,完善农村亮化、绿化、道路等基础设施，修缮三镇水利设施，实施人饮输配管网改造工程,2,1,mixed,,,,
S0267,郑州市,2008,none:early,对达不到排放要求的企业实施限期治理、停产治理或强制搬迁,0,0,irrelevant,,,,
S0268,铁岭市,2018,none:late,今后五年政府工作的总体要求是：全面贯彻落实党的十九大精神，以习近平新时代中国特色社会主义思想为指导，坚持稳中求进工作总基调，坚持新发展理念，紧扣我国社会主要矛盾新变化，按照高质量发展要求，统筹推进“五位一体”总体布局，协调推进“四个全面”战略布局，深入落实“四个着力”“三个推进”，以供给侧结构性改革为主线，按照省委、省政府的决策部署，认真实施“一带五基地”建设和“五大区域发展战略”，突出开放牵动、创新引领、改革推动、民生优先、绿色发展，坚决打赢防范化解重大风险、精准脱贫、污染防治三大攻坚战，努力走出一条更高质量、更有效率、更加公平、更可持续的发展新路，如期全面建成小康社会，为开创铁岭振兴发展新局面奠定坚实基础,0,0,irrelevant,,,,
S0269,葫芦岛市,2010,none:early,企业养老保险实现市级统筹,0,0,irrelevant,,,,
S0270,云浮市,2023,visible:late,5 个县（市、区）年内全面建成2 条乡村振兴示范带,1,0,visible,,,,
S0271,邢台市,2011,none:early,（二）着力推进产业结构调整，加快转变经济发展方式,0,0,irrelevant,,,,
S0272,太原市,2003,functional:early,黄河水源城市供水、二电集中供热、胜利桥加宽、和平北路、南内环桥西引道、柴西路、迎春街、城坊东街、滨河东路向北延伸南段、旧晋祠路南段拓宽改造等一批重点工程建成投运，新增集中供热能力600万平方米，新增煤气供气能力1.1亿立方米,0,3,functional,,,,
S0273,新余市,2019,functional:late,完成丹江大桥防护设施改造、10处交通安全隐患点治理、31座城区公厕新建及改造，推进8条背街小巷、5个老旧小区、3个国有企业生活小区基础设施改造，改造新钢环山、燕子山等区域10367户棚户区，全面改善群众生产生活环境,0,2,functional,,,,
S0274,七台河市,2014,functional:late,完成22626 套煤矿棚改房建设，新开工10499 套，严格棚改复核审查，纠正不合理安置面积1 万多平方米，挽回直接经济损失1944 万元，节约房源3000 余套，保证了公平分配，21268 户居民告别棚户区,0,1,functional,,,,
S0275,广州市,2007,functional:early,抓好重点水库、堤防的除险加固和小型水利设施的整修，全面提升防御自然灾害的能力,0,1,functional,,,,
S0276,呼伦贝尔市,2021,none:late,营商环境是重要的生产力、竞争力，改善营商环境是促进经济增长、提升地区软实力的重要手段,0,0,irrelevant,,,,
S0277,泸州市,2011,none:early,纳溪黄桷坝水利工程开工建设，古蔺龙爪河等引水工程加快推进,0,0,irrelevant,,,,
S0278,赣州市,2010,visible:early,对违章占道、卫生死角和临街立面、卫府里市场及周边环境进行全面整治实施了“绿化、亮化、美化、彩化”工程创建省级文明城市和卫生城市通过省验收,6,0,visible,,,,
S0279,遂宁市,2012,functional:early,18．“坚强电网”工程：由国家电网组织实施的，以提高电网防御多重故障、防止外力破坏和防灾抗灾能力，增强电网供电安全可靠性为目的的电网升级改造工程,0,1,functional,,,,
S0280,宿迁市,2024,visible:late,推进市交通指挥大数据中心等项目，建成一批智慧城市新样板,1,0,visible,,,,
S0281,郑州市,2020,none:late,多措并举激发消费潜力,0,0,irrelevant,,,,
S0282,清远市,2012,visible:early,制订向县级放权的实施办法，进一步明确市、城区在城市管理监察、绿化、卫生、交通管理等领域的职责,1,0,visible,,,,
S0283,宜春市,2010,visible:early,2010年，全市争取建立10个1000亩以上的城郊农业示范区,1,0,visible,,,,
S0284,邯郸市,2006,visible:early,继续按照“文化＋绿化”总体思路，积极推进主城区南连、北延、东扩、西移、中优，拓展中轴线，疏通棋盘路，改造城中村，整治串城河，营造防护林，加大旧城改造和小街巷整治力度，建设环城水系，做优做美中心城市,1,0,visible,,,,
S0285,朔州市,2016,none:late,设立企业技术研发创新项目专项资金，支持企业技术研发，新增企业技术中心6家、高新技术企业2家,0,0,irrelevant,,,,
S0286,大同市,2008,visible:early,全面提升国家风景名胜区北岳恒山的景观水平,1,0,visible,,,,
S0287,长沙市,2004,visible:early,任何时候都不弄虚作假，欺上瞒下，不提不切实际的口号，不搞劳民伤财的形象工程，不干违民意损民力伤民心的事,2,0,visible,,,,
S0288,宣城市,2010,functional:early,加强应急指挥平台和应急救援队伍建设,0,2,functional,,,,
S0289,南阳市,2017,visible:late,集聚资源要素，把高新区、市城乡一体化示范区、产业集聚区培育成为科技创新的主阵地,1,0,visible,,,,
S0290,呼和浩特市,2021,none:late,推动“软件”提升，在市属医院打造25个重点专科、3个重点学科,0,0,irrelevant,,,,
S0291,舟山市,2021,none:late,港口货物吞吐量达5.71亿吨，江海联运量达2.56亿吨,0,0,irrelevant,,,,
S0292,江门市,2016,none:late,抓好卫生城市、卫生镇复审和创建工作，大力推进农村户厕改造,0,0,irrelevant,,,,
S0293,玉林市,2019,visible:late,玉州区、容县获评为全区健康产业示范县,1,0,visible,,,,
S0294,东营市,2016,mixed:late,深入开展国家和省市试点示范县、示范镇创建，加快东营港城建设，加强棚户区、城中村、城边村和危房改造，推进城镇一体化管理,2,2,mixed,,,,
S0295,南平市,2007,none:early,全社会固定资产投资增 :长16%,0,0,irrelevant,,,,
S0296,滁州市,2017,none:late,院士工作站力争再翻一番,0,0,irrelevant,,,,
S0297,荆州市,2014,none:late,建立农产品质量可追溯制度，开展农产品电子认证、种养殖业在线监测，确保“舌尖”上的安全,0,0,irrelevant,,,,
S0298,泰州市,2022,visible:late,以“一轴”为主干提升功能品质，整体抓好从凤城河到天禄湖区域的开发设计，分类打造文商旅融合区、中央公共活动区、高端金融商贸区、现代文体休闲区、健康产业核心区等重点功能板块，分步完善永定路、姜高路、东风路、祥泰路等快速通道功能，合理布局慢行、绿地、亲水和照明系统，形成生产生活生态功能高度复合、历史现代未来风貌一体贯通的活力中轴,1,0,visible,,,,
S0299,三门峡市,2024,visible:late,特色农业产值占一产比重超过87%，全省中药材“十强县”我市独占四席，灵宝苹果获批国家首批现代农业全产业链标准化示范基地,1,0,visible,,,,
S0300,马鞍山市,2010,visible:early,整合南部沿江发展空间，加紧展开承接产业转移集中区建设相关工作，精心打造若干特色园区，力争在示范区建设中发挥先导作用,1,0,visible,,,,
S0301,合肥市,2012,mixed:early,大力推进环巢湖生态示范区一期项目建设，积极谋划二期项目，重点实施现有污水处理厂提标改造和国家规划的环湖污水处理厂建设，同步推进配套的400公里管网建设,1,3,mixed,,,,
S0302,洛阳市,2011,mixed:early,伊滨区要重点加快路网建设，基本建成水电气暖、污水处理等基础设施，伊滨公园、中央商务区、行政副中心、中央轴带、撤村并城小区、职教园区等重点区域和重点项目要有明显的形象进度,1,1,mixed,,,,
S0303,太原市,2016,visible:late,要把国家小微企业创业创新基地城市示范作为民营经济发展的强大动力，推动“大众创业、万众创新”，打造我市“众创”发展的新形态，激发内生增长的新动力，形成内源发展的新方式,1,0,visible,,,,
S0304,周口市,2012,visible:early,在北京等大城市建设周口特色农产品展销大厅，构建周口农产品市场网络和展示平台,1,0,visible,,,,
S0305,延安市,2003,visible:early,围绕农业产业开发和企业技 术改造，着力抓好农业科技示范园建设和新技术、新品种的 引进、推广,1,0,visible,,,,
S0306,南宁市,2009,functional:early,加大水利投入，特别是病险水库的除险加固,0,1,functional,,,,
S0307,六盘水市,2011,functional:early,加强全市6个污水处理厂正常运转的监控，严格执行国家产业政策和行业准入标准，加快淘汰高耗能、高排放、低效益的落后生产力，确保企业主要污染物稳定达标排放,0,1,functional,,,,
S0308,郑州市,2013,functional:late,生态水系和水源工程进展加快，西流湖污水治理初见成效，龙湖调蓄工程建成蓄水,0,1,functional,,,,
S0309,贵港市,2019,none:late,创建一批粮食生产功能区、重要农产品生产保护区、特色农产品优势区和现代农业产业园、科技园、创业园,0,0,irrelevant,,,,
S0310,阜新市,2003,visible:early,第六，推进五大示范工程,1,0,visible,,,,
S0311,普洱市,2020,visible:late,加大全国文明城市创建力度，国家森林城市动态监测通过复查验收，上榜2019中国百强品牌城市,1,0,visible,,,,
S0312,泰州市,2006,mixed:early,规划建设沿江防护林，启动建设江心洲湿地生态区，尽快实现沿江地区污水集中达标排放，打造沿江绿色工业走廊和生态景观走廊,1,1,mixed,,,,
S0313,钦州市,2013,functional:late,加快保障性安居工程建设，新开工建设保障性住房5110套，新增发放廉租住房租赁补贴790户，推进农村危房改造，改善群众居住条件,0,1,functional,,,,
S0314,乐山市,2016,none:late,提升依法治网水平，营造良好网络环境,0,0,irrelevant,,,,
S0315,阜阳市,2017,functional:late,推进棚户区改造货币化安置和公租房货币化保障，加强住房市场监管，引导房地产回归居住功能，促进房地产业平稳健康发展,0,1,functional,,,,
S0316,大同市,2023,mixed:late,加快全省新型智能城市示范市建设，推动城市状态“一网感知”，建设用电、用水、可燃气体、烟雾传感等物联感知设备,1,1,mixed,,,,
S0317,咸阳市,2005,none:early,金融运行健康平稳，为全市经济社会发展提供了有力的支持,0,0,irrelevant,,,,
S0318,潍坊市,2019,functional:late,"提升污水处理能力,新建扩建污水处理项目8个,提标改造污水厂5个",0,3,functional,,,,
