sample_id,city,year,stratum,sentence,dict_visible_hits,dict_functional_hits,dict_label,coder1 (visible | functional | mixed | irrelevant),coder2 (visible | functional | mixed | irrelevant),adjudicated,notes,gemini,chatgpt,deepseek,ensemble_majority,n_agree
S0126,临沂市,2008,functional:early,加强水利基础设施建设，科学制定水资源开发利用和保护综合规划，不断完善防洪工程体系和水资源保障体系，发挥水资源的最大效益,0,1,functional,,,,,functional,functional,functional,functional,3
S0127,沧州市,2011,functional:early,以县城总体规划和土地利用规划修编调整为契机，依托县城建设工业聚集区、产业园区，重点打造任丘石油化工、盐山孟村管道管件、青县石油装备、泊头数控机床、东光纸箱机械、南皮五金机电、河间电线电缆、肃宁皮草等一批工业聚集区和产业园区，力促每个县（市）都拥有一个省级工业聚集区,0,1,functional,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0128,东莞市,2014,visible:late,全面启动路网基础设施建设，重点推进万望路等8项道路桥梁改扩建工程,3,0,visible,,,,,visible,visible,visible,visible,3
S0129,淮南市,2019,visible:late,统筹考虑水资源、水生态、水安全、水景观建设，制定淮河生态经济带发展规划淮南行动计划，谋划百亿对接项目库,1,0,visible,,,,,mixed,mixed,mixed,mixed,3
S0130,海口市,2007,functional:early,投入2400万元完成32幢防洪楼建设，可容纳灾民3.1万人,0,1,functional,,,,,functional,functional,functional,functional,3
S0131,昆明市,2012,functional:early,实施抗旱应急工程，在连续旱灾情况下，确保城乡供水安全,0,1,functional,,,,,functional,functional,functional,functional,3
S0132,温州市,2016,none:late,完成围垦造地3万亩，沿江沿海标准堤塘实现闭合,0,0,irrelevant,,,,,functional,functional,functional,functional,3
S0133,南昌市,2012,functional:early,开展幸福渠水系综合治理等环保专项行动，关停取缔185家违法排污的企业及养殖户，完成四大主要污染物指标年度减排任务，集中式饮用水源地水质达标率100%，空气质量优良率95.75%,0,1,functional,,,,,functional,functional,mixed,functional,2
S0134,温州市,2010,functional:early,建成市区西片污水处理厂，加强重点城镇污水处理厂及配套管网建设，加大截污纳管力度，市区污水处理率达70%、县（市）污水处理率达50%以上,0,5,functional,,,,,functional,functional,functional,functional,3
S0135,保山市,2017,visible:late,完成万亩东山生态恢复工程主干道和配套服务设施，建成东山森林公园5个县市区“园中园”,1,0,visible,,,,,visible,visible,visible,visible,3
S0136,通辽市,2018,none:late,"在此,我代表市政府,向离退休老同志,向中区直单位、驻市军警部队,向一直关心支持通辽建设与发展的同志们、朋友们,致以崇高的敬意和衷心的感谢",0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0137,汕尾市,2010,visible:early,重点培育发展房地产开发市场，走规模开发、集约经济、品牌打造、特色城市的房地产发展道路，推动房地产消费形成高潮，拉动内需促增长,1,0,visible,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0138,济南市,2010,none:early,"﻿各位代表：
　　我代表市人民政府向大会报告工作，请予审议，并请市政协委员和其他列席人员提出意见",0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0139,徐州市,2010,visible:early,市区12条道路改扩建及7个路口渠化改造工程竣工，珠江路和徐贾快速通道按计划推进，云龙湖“四合一”工程、规划馆、档案馆等项目建成开放,1,0,visible,,,,,visible,visible,visible,visible,3
S0140,郴州市,2012,functional:early,加强重点节能减排工程建设和设施监管，推进“十二五”污水和生活垃圾处理设施及配套管网建设,0,2,functional,,,,,functional,functional,functional,functional,3
S0141,南充市,2018,visible:late,启动阳春路等城市道路标美化提升，开工建设将军路嘉陵江大桥、南部嘉陵江三桥等项目，大力实施西山城市公园、北湖片区改造提升工程，加快建设中央森林公园、双女石公园等一批城市公园，大力完善高铁商务区基础设施，确保上中坝“印象嘉陵江”等项目全面完工，滨江中路互通竣工通车,6,0,visible,,,,,visible,visible,visible,visible,3
S0142,抚顺市,2020,visible:late,开采百年的西露天矿实现由采转治，获批国家大宗固体废弃物综合利用基地，采煤影响区逐步成为城市新景观,1,0,visible,,,,,visible,visible,mixed,visible,2
S0143,嘉峪关市,2024,none:late,优化企业发展环境,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0144,鄂州市,2003,none:early,全年投入旅游设施建设资金1.7亿元，景区、景点建设步伐加快,0,0,irrelevant,,,,,visible,visible,visible,visible,3
S0145,周口市,2011,visible:early,新增公共绿地144公顷，全市城市绿地达到1261公顷，绿地率32.2%,3,0,visible,,,,,visible,visible,visible,visible,3
S0146,银川市,2018,visible:late,严守生态保护红线、永久基本农田、城镇开发边界三条控制线，统筹推进经济林建设、绿化美化、防沙治沙、湿地保护、水土保持等工作，抓好贺兰山东麓国家级自然保护区银川段生态修复和长效管护，实施黄河两岸、艾依河两侧、贺兰山东麓生态林建设，提升生态系统质量和稳定性，切实维护好西北生态安全屏障,2,0,visible,,,,,visible,visible,visible,visible,3
S0147,鹰潭市,2021,visible:late,增强法治思维，深化法治政府建设，用法治给行政权力定规矩、划界限，自觉接受人大工作监督和法律监督、政协民主监督、社会舆论监督，认真办理人大代表建议和政协提案，在法治轨道上推进政府治理体系和治理能力现代化,1,0,visible,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0148,普洱市,2012,functional:early,实施中石油普洱成品油管道、油库项目建设,0,1,functional,,,,,functional,functional,functional,functional,3
S0149,六安市,2009,mixed:early,切实抓好河西景观大道、月亮岛环岛路、橡胶坝、淠河景观带、淠河护岸和河床整治、平桥排涝泵站、淠河截污等工程建设，统筹安排工程设计、拆迁安置、施工组织、资金筹措等环节任务，确保橡胶坝中坝4月底前竣工,4,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0150,乌鲁木齐市,2018,visible:late,我们出台了一批振兴实体经济、拓宽融资渠道、激发社会领域投资活力的政策措施，积极开展集中联审联批，探索了一条抓项目、促投资的新路子，确保了老城区改造提升、轨道交通等651项重点项目顺利实施，固定资产投资首次跨越2000亿元大关，创历年最好,1,0,visible,,,,,visible,visible,irrelevant,visible,2
S0151,安阳市,2006,functional:early,“十五”期间，全社会固定资产投资增长34.9%，党政综合楼、汽车客运东站、东区污水处理厂等一批项目建成使用,0,1,functional,,,,,mixed,mixed,mixed,mixed,3
S0152,株洲市,2006,functional:early,新建一批城市公厕和垃圾中转站，规划建设3个污水处理项目（河西、龙泉二期、枫溪），配套完善城市给排水管网，城市防洪标准提高到百年一遇,0,5,functional,,,,,functional,functional,functional,functional,3
S0153,中山市,2015,visible:late,推行低冲击开发模式，加强对城市绿地、山体、河流、岸线的开发管理,1,0,visible,,,,,visible,visible,visible,visible,3
S0154,晋城市,2005,functional:early,加快西河缓洪库和东焦河水库建设，增强城市防洪功能,0,1,functional,,,,,functional,functional,functional,functional,3
S0155,张家界市,2005,visible:early,加强乡村道路、水利等基础设施建设,1,0,visible,,,,,mixed,mixed,mixed,mixed,3
S0156,石家庄市,2011,none:early,严格控制各类评比考核，大幅度减少各种检查，严肃查处涉企乱收费行为，大力营造全民创业、增收致富、竞相发展的生动局面,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0157,平顶山市,2004,visible:early,对重点地段进行了绿化、亮化，对窗口单位、市民集中活动区及脏、乱、差地段实施了拆迁改造和美化、亮化,4,0,visible,,,,,visible,visible,visible,visible,3
S0158,徐州市,2011,none:early,加强市场价格监测预警和监督检查，严格控制政府调价项目，建立健全农副产品应急储备制度，确保各项补贴制度落实到位,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0159,兰州市,2014,visible:late,全面加快轨道交通规划和实施工作， 完成试验段建设任务和 1 号线一期工程征地征收，全线开工准备就绪,1,0,visible,,,,,visible,visible,functional,visible,2
S0160,盐城市,2005,mixed:early,加快旧城改造，推进先锋岛和二桥广场开发，大力开展老小区整治，改继续加快城巾化进程，围绕做大中心城巾口标，全面完成市区规划建设用地范国内控制善市民居住条件和生活环境，启劝蛇河和中场河防沙闸等城市防洪工程建设，实城南热电厂迁，加快完善管网、电网和通讯网络，人力发展城市公交容运，抓紧建设垃吸转运站、公共厕所、公共停车场等锐施，提升城市功镜和配套水平、建立市区全覆盖的城管执法模式，实行环卫保清市场化运作，加大法建设查处力度，整顿交通秩序，推进城市管理重心下移进社区，建立城市管理长效机制,1,2,mixed,,,,,mixed,mixed,mixed,mixed,3
S0161,金昌市,2003,visible:early,以白家咀、赵家沟等村组为重点，小康住宅点绿化11.2公里,1,0,visible,,,,,visible,visible,visible,visible,3
S0162,忻州市,2018,visible:late,市本级重点抓好“中国杂粮之都”产业融合核心园区建设、国家级杂粮产地交易市场建设、中国杂粮产业优势区创建、优质杂粮工程示范市创建、“好粮油”示范市创建，忻州古城开发保护改造、康养产业集群发展、云中河两岸开发、大西高铁站前广场活化等项目,1,0,visible,,,,,visible,visible,mixed,visible,2
S0163,惠州市,2003,visible:early,加快建设东江沙公园、南门公园、东江公园,3,0,visible,,,,,visible,visible,visible,visible,3
S0164,普洱市,2007,none:early,"（九）民主法制建设深入推进，政府自身建设得到加强
切实加强民主法制建设",0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0165,上海市,2012,functional:early,加强以水利为重点的郊区农村基础设施和环境建设，开展一批农田水利设施更新改造、河道整治和郊区集约化供水等工程建设，完成118个村庄改造、4万户农村生活污水处理设施改造,0,2,functional,,,,,functional,functional,functional,functional,3
S0166,常德市,2015,functional:late,完成“五县一市”天然气输配管道工程，开工建设常德至西洞庭天然气长输管网,0,2,functional,,,,,functional,functional,functional,functional,3
S0167,杭州市,2014,functional:late,在治污水上，全面推行“河长制”，落实责任制,0,1,functional,,,,,functional,irrelevant,functional,functional,2
S0168,荆州市,2019,visible:late,支持天露湖创建国家生态农业公园，打造一批集现代农业、休闲度假、田园社区于一体的田园综合体,1,0,visible,,,,,visible,visible,visible,visible,3
S0169,平顶山市,2010,none:early,积极开展食品药品安全专项整治，成功创建省级食品安全优秀城市,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0170,黑河市,2011,functional:early,局市共建双山示范镇，完成双吉小区一期工程，启动二期工程和商贸市场、给排水管网等项目,0,3,functional,,,,,mixed,mixed,mixed,mixed,3
S0171,天津市,2019,none:late,加快建设全国先进制造研发基地，高度重视制造业发展，不断壮大新一代信息技术、航空航天、高端装备、现代石化等优势产业，进一步提高战略性新兴产业和高技术制造业占比,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0172,福州市,2022,none:late,支持福耀科技大学（暂名）筹建新型应用研究型高水平大学,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0173,咸阳市,2015,functional:late,继续推进污水处理厂建设，统筹做好管理工作，实现正常运行、达标排放,0,1,functional,,,,,functional,functional,functional,functional,3
S0174,中山市,2017,visible:late,加强中心城区与东部组团、东北组团、西北组团、南部组团的联系，打造中心至组团的高快速路网,1,0,visible,,,,,visible,visible,visible,visible,3
S0175,临沧市,2023,visible:late,持续推动商签中缅第三国货物过境贸易、国际道路跨境运输、金融合作等双边协定,1,0,visible,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0176,百色市,2019,none:late,——深化领导班子建设年和投资环境整治年，投资环境满意度84.2，连续两年排全区第4位，创下2006年以来最好成绩,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0177,本溪市,2004,visible:early,对已迁出的成片沉陷区域进行土地整理及 地质遗迹保护，实施绿化和美化,2,0,visible,,,,,visible,visible,mixed,visible,2
S0178,丹东市,2019,functional:late,全线贯通应急输水管线，实现第二水源向市区水厂供水,0,1,functional,,,,,functional,functional,functional,functional,3
S0179,忻州市,2017,none:late,强力推进脱贫攻坚,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0180,包头市,2012,functional:early,加强污水治理，加快污水处理厂、中水管网建设，全市污水日处理能力达到32.15万吨，生活污水处理率达到83%，再生水利用率达到35%,0,5,functional,,,,,functional,functional,functional,functional,3
S0181,湛江市,2011,mixed:early,加快编制《湛江市城市总体规划（2010-2020）》、《湛江市城市近期建设规划（2011-2015）》、《湛江市城乡发展战略规划》、《“一湾两岸”城市景观规划》、《市区城中村规划》和修编城市分区规划及控制性详细规划，协助编制《粤西城镇群协调发展规划》，启动编制《市区地下空间利用与控制规划》和《海岛开发建设规划》，建立完善的城市规划控制体系,1,1,mixed,,,,,irrelevant,mixed,irrelevant,irrelevant,2
S0182,福州市,2016,none:late,在此，我代表市人民政府，向全市人民致以崇高的敬意,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0183,周口市,2014,functional:late,集中改建一批小街小巷、公厕、垃圾中转站、污水管网等民生项目，新建10个“两小市场”，加快公交场站建设，着力解决城市占道经营和交通堵塞问题,0,2,functional,,,,,mixed,mixed,mixed,mixed,3
S0184,安阳市,2004,functional:early,进一步拓宽服务功能，重点抓好治安、电力、供水、供气和经济特警五个110建设，构筑全方位的便民服务体系,0,1,functional,,,,,irrelevant,functional,functional,functional,2
S0185,珠海市,2013,visible:late,完成凤凰山森林公园建设一期工程，新建生态景观林带85公里，绿化美化一批市政道路,5,0,visible,,,,,visible,visible,visible,visible,3
S0186,盘锦市,2003,mixed:early,抓好重点工程建设，年内要完成辽河 路南段、城北广场、文化广场、礼贤路、支农街续建工程和城市防洪 一期工程收尾工作,2,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0187,宁波市,2005,functional:early,进一步深化城市供水、供气、公交、排污等公用事业管理体制改革，广泛吸纳市内外社会资本参与投资主体多元化改造，逐步建立政企、政资、政事分开的市政公用企业特许经营管理体制和城乡统筹的公用事业体系,0,2,functional,,,,,irrelevant,functional,functional,functional,2
S0188,鹰潭市,2008,visible:early,以平原造林绿化为重点，推进血防林、长防林、公益林等重点林业工程建设,1,0,visible,,,,,visible,visible,visible,visible,3
S0189,鹰潭市,2012,visible:early,推进“一江两岸”景观提升工程，全面完成林荫东路等重要街道综合升级改造，重点实施城区通道、信江新区路网绿化亮化工程，展示路靓城美新形象,4,0,visible,,,,,visible,visible,visible,visible,3
S0190,菏泽市,2010,mixed:early,继续推进赵王河下游开发治理，开工建设生态湿地保护区，力争把赵王河打造成纵贯城市南北、具有现代气息和生态价值的重要景观带和城市防汛主河道,2,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0191,安顺市,2013,functional:late,中缅油气管道建设工程顺利推进,0,1,functional,,,,,functional,functional,functional,functional,3
S0192,益阳市,2022,visible:late,推动城市生活垃圾分类管理立法工作，加强市容环卫、市政设施、园林绿化、综合执法等城市管理标准体系建设，推行城市管理“721工作法”，提高城市管理执法服务水平,2,0,visible,,,,,irrelevant,mixed,mixed,mixed,2
S0193,昭通市,2023,none:late,深入推进生态环保督察反馈问题整改,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0194,广州市,2016,visible:late,高速公路通车972公里，地铁通车9条266公里,1,0,visible,,,,,visible,visible,visible,visible,3
S0195,周口市,2014,functional:late,实施“碧水工程”，加大对沙颍河、运粮河、新蔡河、涡河等流域水环境综合治理力度，依法取缔饮用水源保护区内的违法建设项目，加快污水处理厂等重点减排工程建设，进一步改善水环境质量,0,1,functional,,,,,functional,functional,functional,functional,3
S0196,沧州市,2015,none:late,做强骨干龙头企业,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0197,滨州市,2023,none:late,我们确定了12类158件民生实事，一件接一件、一年接一年，接续把“群众所盼”变成“政府所干”，倾尽我们“百倍努力”、赢得群众“十分满意”,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0198,吉林市,2011,visible:early,北山公园免费向市民开放,1,0,visible,,,,,irrelevant,visible,visible,visible,2
S0199,赤峰市,2020,visible:late,着眼于交通治堵，启动解放街东通、松州路北通、铁南大街东通、富河街西通等道路工程，确保腾飞大道、大板路全线贯通，争取中环快速路一期工程开工建设，畅通群众出行条件,2,0,visible,,,,,visible,visible,visible,visible,3
S0200,景德镇市,2012,none:early,我们已看到一轮喷薄欲出的朝阳，我们已眺望到遥远海中的希望桅杆,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0201,防城港市,2013,mixed:late,加强企沙、大西南两大园区道路、供水、供电、污水处理、标准厂房及生活配套设施建设,1,2,mixed,,,,,mixed,mixed,mixed,mixed,3
S0202,鸡西市,2015,visible:late,(2)全力推进东升花园、森林名苑2个政府融资主导建设项目，新建百万平方米安置住宅，让万户居民“出棚进楼”，实现安居梦,1,0,visible,,,,,irrelevant,irrelevant,visible,irrelevant,2
S0203,安阳市,2006,visible:early,深化环卫和园林体制改革，建立和完善“两级政府、三级管理、四级网络、全民参与”的城市管理机制,1,0,visible,,,,,irrelevant,visible,irrelevant,irrelevant,2
S0204,绍兴市,2024,functional:late,开展防汛防台能力提升三年行动，提升自然灾害防御水平，更好守护人民群众生命财产安全,0,1,functional,,,,,functional,functional,functional,functional,3
S0205,石家庄市,2014,visible:late,实施基础设施、园林绿化、景观风貌等重点工程，提高教育、医疗、文化等公共服务水平，全面提升县城吸纳人口、集聚产业的功能,4,0,visible,,,,,visible,visible,mixed,visible,2
S0206,承德市,2024,mixed:late,"全市更新老
旧管网37公里，打造18条示范街道、14个精品口袋公园",1,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0207,通化市,2011,none:early,通化被列为全国数字地理空间框架建设试点城市,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0208,鹤壁市,2004,none:early,城镇居民人均可支配收入水平较低，部分群众生活还很困难,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0209,本溪市,2012,visible:early,建设北地跨线桥，改造环山路、东芬转盘、铁路转盘及永丰立交桥、彩北两洞桥，形成城市环路，提升城市主干路网功能,2,0,visible,,,,,visible,visible,visible,visible,3
S0210,南宁市,2012,none:early,新开工项目达6393个，比上年增加2671个,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0211,湛江市,2012,visible:early,从今年开始，三年完成城区骨干道路沥青化改造，以崭新城市面貌迎接第十四届省运会召开,1,0,visible,,,,,visible,visible,visible,visible,3
S0212,乌海市,2022,mixed:late,开展居民小区绿化用水替代工程，实施沿黄河西片区雨污水集约利用项目，建设海绵城市、韧性城市,1,1,mixed,,,,,functional,functional,functional,functional,3
S0213,舟山市,2009,functional:early,深入开展环境污染整治，抓好中水回用，继续推进重点行业、重点企业的污染整治，加强减排、脱硫设施的运行监管，推进污水管网、工业固废中心等一批工程建设，推进市域范围内排污权交易，加强饮用水源地和养殖滩涂、海洋的环境保护和监测,0,3,functional,,,,,functional,functional,functional,functional,3
S0214,开封市,2012,none:early,社会保障水平进一步提高,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0215,东营市,2013,none:late,金融机构各项贷款余额1806亿元，比年初增加367.2亿元,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0216,湛江市,2005,mixed:early,进一步开放市政公用事业建设和运营市场，加快公共交通、园林绿化、环卫、供水、燃气、污水及垃圾处理等行业的市场化步伐,2,2,mixed,,,,,mixed,mixed,mixed,mixed,3
S0217,汕头市,2015,none:late,通过放管结合、放管并重，充分释放市场活力，激发大众创业、万众创新的动力,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0218,丽江市,2019,none:late,滇中引水工程丽江段开工建设，南瓜坪水库可研初步通过水利部水规总院审查，建成文海、水地坪、拉子等水库,0,0,irrelevant,,,,,functional,functional,functional,functional,3
S0219,平凉市,2011,visible:early,以建设国家生态示范市、全国园林城市、全省循环经济示范市为统揽，持续加强生态建设和环境保护，强化节能减排，集约节约利用资源，增强可持续发展能力,1,0,visible,,,,,visible,visible,irrelevant,visible,2
S0220,榆林市,2010,mixed:early,中心城市建设全面推进，全市累计完成市政建设投资85.46亿元，其中榆林城区完成33.46亿元，建设了一大批市政道路、园林绿化、亮化、供水、供气、供热、环卫等基础设施工程，榆林城区供水普及率达95%，供气率达80%，绿化覆盖率达36.1%，人均公共绿地面积达7.54平方米,6,2,mixed,,,,,mixed,mixed,mixed,mixed,3
S0221,廊坊市,2018,none:late,前人栽树后人乘凉,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0222,湘潭市,2020,functional:late,严格落实“河长制”，开展入河排污口排查整治专项行动,0,1,functional,,,,,functional,functional,functional,functional,3
S0223,孝感市,2016,none:late,经过多年的努力和积累，跨越发展的基础和条件越来越夯实,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0224,濮阳市,2013,mixed:late,41个市政道路建设改造项目完成节点目标，第二污水处理厂主体完工，城乡规划展览馆等一批公益项目建成投用,1,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0225,云浮市,2009,functional:early,着手推进云城与云安同城化及资源共享，加强县城与中心镇规划建设和管理，完善城乡供水、供电、通信、污水与垃圾处理等基础设施，引导农村人口向城镇集聚，加快城乡一体化进程,0,2,functional,,,,,functional,functional,mixed,functional,2
S0226,咸阳市,2014,mixed:late,继续推进中心城市“3+6”工程，精心谋划建设一批城建项目，加快主要出入口改造、人民广场、高铁咸阳站广场建设，完善供热、供气、供水和雨污水管网,2,3,mixed,,,,,mixed,mixed,mixed,mixed,3
S0227,成都市,2007,functional:early,水环境综合整治重点转入市域内21条中小河流域郊区市县完成污水处理厂建设并投入运行工业园区污水达标排放重点镇污水处理设施按规划建设年底前3个国控出境断面水质明显改善力争早日还两江清水,0,3,functional,,,,,functional,functional,functional,functional,3
S0228,咸宁市,2023,visible:late,老城区“＋公园”，提档升级香吾山公园、十六潭公园、青龙山公园等城区公园，新建一批“口袋公园”,6,0,visible,,,,,visible,visible,visible,visible,3
S0229,廊坊市,2024,none:late,组建科技特派团入企服务，新增国家级高新技术企业超过1500家，国家科技型中小企业总数超过2万家,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0230,南平市,2005,functional:early,"大力开拓农村市场""推进房地产、金融、 信息、技术等现代服务业发展
（三）	提高农业综合生产能力，促进农民收 入持续增长
加强农业基础设施和保障体系建设加大 农村公路建设力度•力争完成7个乡触仁168个 行政村、1000公里水泥路面硬化工程 继续实 施农村水利“六门”工程，建设村级供水200处、 改善20万人饮水条件，除险加固病险水库29 座，山地水利希水8 Jj立方米，建设中型灌【＜6
1 • "" 1 29万亩开设竹山机耕路1000公甲严格川水 农田保护，加大1 •地开发整理力度,加强农田基 本建设，改造中低产田、建设标准农田和商品粮 基地10 Jjlii建立反大动檀物疫病防控体系, 加强农林病虫害测报预防，加快市区动物疫病 控制与产品质fit监测中心建设""健全防汛抗旱 等防灾减灾体系，完善预案,建设市防汛水利-体化平台o建立森林防火长效机制,建设牛物防 火林带751公里，新开防火路1855公里
完善社会化服务体系,抓好“〔农”服务中 心试点I「作加强貝、乡、村［级农业信息网络 建设，促进农业信息进村到户""引导农民建立各
业合作社、专业协会和购销联存体，播活农 产品流通，大力实施科技兴农战略，抓好“科技 入户工程”及“星火计划”、“丰收计划”项目",0,3,functional,,,,,mixed,mixed,mixed,mixed,3
S0231,黑河市,2003,mixed:early,以现有国家、省级试点小城镇为重点，全面加快基础设施和住宅建设，逐步完善道路、给排水、电、热等设施,1,2,mixed,,,,,mixed,mixed,mixed,mixed,3
S0232,黑河市,2011,none:early,利用小兴安岭地区1∶5万航空物探测量成果，推进嫩江多宝山、逊克宝山等重点区域矿产详查，为上新项目创造基础条件,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0233,七台河市,2007,none:early,一是发展壮大物流业,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0234,酒泉市,2016,mixed:late,"北大河生态治理及河道景观、生态绿地建设工程完成,丝路公园、体育公园、滨河公园向市民开放,新城区二期“四纵五横”道路和滨河南路建成,第二水厂迁址扩建和第二污水处理厂建设工程完成年度任务",6,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0235,中山市,2019,visible:late,研究建设华侨公园,1,0,visible,,,,,visible,visible,visible,visible,3
S0236,潮州市,2013,visible:late,七是加强农村道路建设，新建改建县乡公路50公里、建设通村公路210公里,1,0,visible,,,,,visible,visible,visible,visible,3
S0237,铁岭市,2004,none:early,"广大公务员特别是各级领导干部，一定要牢记 ""一粥一饭，当思来之不易",0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0238,宜春市,2008,none:early,“新农合”参合率87.37%,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0239,包头市,2023,none:late,回望那刻骨铭心的日日夜夜，一场场艰苦顽强的鏖战，一个个逆行出征的背影，一幕幕感人至深的情景，成为我们永志不忘的共同记忆,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0240,淮安市,2024,none:late,（六）生态环境在系统治理中不断夯实根基,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0241,北海市,2013,mixed:late,加强海洋生态保护，实施近岸海域、海岛及海洋生态综合整治工程，重点抓好入海排污口、市区北岸、涠洲岛西南海岸带的综合整治，启动建设涠洲岛珊瑚礁国家级海洋公园，创建国家级海洋生态文明示范区,1,1,mixed,,,,,mixed,mixed,visible,mixed,2
S0242,益阳市,2016,none:late,鼓励社会力量办学,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0243,双鸭山市,2018,none:late,加快调整产业结构，向资源开发和精深加工要发展，向优势产业和产品延伸升级要发展,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0244,吴忠市,2007,mixed:early,同心羊绒工业园区组建了绒业集团有限公司，完成道路、给排水等基础设施项目建设，入园企业达34家,1,2,mixed,,,,,mixed,mixed,mixed,mixed,3
S0245,成都市,2013,visible:late,11、“三绿”工程：是指中心城区实施的生态型道路绿化、块状绿化、立体绿化为主要内容的绿化建设工程,5,0,visible,,,,,visible,visible,visible,visible,3
S0246,苏州市,2013,visible:late,加快实施虎丘湿地公园等重大绿化工程，市区新增绿地500万平方米,3,0,visible,,,,,visible,visible,visible,visible,3
S0247,烟台市,2003,visible:early,这十件实事的主要内容是：旧城区及居民小区综合整治，市区路网及管线建设与改造，市区绿地建设和主干道两侧绿化美化，新建经济适用房和廉租房，实施放心菜篮子工程，完善和新建老年福利设施，搞好困难群体再就业援助和基层劳动保障网络建设，深入开展爱心救助工作，优化配置教育资源，完善提高城乡社区服务功能和水平,4,0,visible,,,,,mixed,mixed,mixed,mixed,3
S0248,合肥市,2020,functional:late,美丽乡村建设纵深开展，建成89个中心村，完成8.3万户改厕任务，实现乡镇污水设施全覆盖，农村生活污水治理工作成为全国典型,0,2,functional,,,,,functional,functional,functional,functional,3
S0249,雅安市,2020,functional:late,大力实施城镇污水处理提质增效三年行动，基本完成城镇污水处理设施建设PPP项目,0,2,functional,,,,,functional,functional,functional,functional,3
S0250,广州市,2022,none:late,扩展绿色生态空间,0,0,irrelevant,,,,,visible,visible,visible,visible,3
S0251,云浮市,2011,functional:early,积极推进有防洪任务的中小河流整治，逐步推进各县（市、区）小流域综合治理工程、山洪地质灾害防治工程和大中型病险水闸除险加固工程建设,0,1,functional,,,,,functional,functional,functional,functional,3
S0252,焦作市,2023,visible:late,扎实开展“十个一百”文旅消费促进行动，推出一批非遗、美食、演艺、“微露营”等文旅文创融合新业态，培育一批精品旅游线路、沉浸式演出场景、旅游休闲街区和网红打卡地，推动南水北调天河公园历史文化街区争创国家级夜间文旅消费集聚区，打造更多文旅消费新热点,1,0,visible,,,,,irrelevant,visible,irrelevant,irrelevant,2
